ID,temperature_2m_°C,relative_humidity_2m_%,dew_point_2m_°C,apparent_temperature_°C,precipitation_mm,pressure_msl_hPa,surface_pressure_hPa,cloud_cover_%,cloud_cover_low_%,cloud_cover_mid_%,cloud_cover_high_%,vapour_pressure_deficit_kPa,wind_speed_10m_km/h,wind_speed_100m_km/h,wind_direction_10m_°,wind_direction_100m_°,wind_gusts_10m_km/h,soil_temperature_0_to_7cm_°C,soil_temperature_7_to_28cm_°C,soil_temperature_28_to_100cm_°C,soil_temperature_100_to_255cm_°C,soil_moisture_0_to_7cm_m/m,soil_moisture_7_to_28cm_m/m,soil_moisture_28_to_100cm_m/m,soil_moisture_100_to_255cm_m/m,shortwave_radiation_W/m,direct_radiation_W/m,diffuse_radiation_W/m,direct_normal_irradiance_W/m,global_tilted_irradiance_W/m,terrestrial_radiation_W/m,is_day_,sunshine_duration_s,electricity_shutdown,hour,day,month,year,day_of_week
1,24.707052343170275,91.0,20.7,25.7,0.1,1011.4,987.2,52.0,3.0,32.0,100,0.5503544722872309,5.3,10.9,298.0,278.0,16.6,23.8,25.5,25.5,25.4,0.272,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,0.0,0,1,1,2022,5
2,22.2,89.0,20.3,25.5,0.0,1010.9,986.7,47.0,5.0,17.0,100,0.29,5.3,12.7,298.0,295.0,8.3,23.4,25.3,25.5,25.4,0.271,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,0.0,1,1,1,2022,5
3,22.35,87.0,20.2,25.4,0.0,1010.0,985.8,42.0,7.0,10.0,100,0.37,7.6,16.8,315.0,315.0,13.0,23.2,25.1,25.5,25.4,0.271,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,0.0,2,1,1,2022,5
4,22.5,86.0,20.1,25.1,0.0,1010.0,985.8,43.0,8.0,9.0,100,0.38,7.0,19.4,320.0,313.0,15.1,23.1,25.0,25.5,25.4,0.27,0.277,0.268,0.323,0,0,0,0.0,0,0.0,0,0.0,0.0,3,1,1,2022,5
5,22.7,84.0,19.9,25.6,0.0,1009.8,985.7,46.5,13.0,10.0,100,0.43,6.4,16.1,308.0,312.0,18.0,23.0,24.8,25.5,25.4,0.27,0.277,0.268,0.323,0,0,0,0.0,0,0.0,0,0.0,0.0,4,1,1,2022,5
6,22.4,86.0,19.9,25.4,0.0,1010.2,986.0,50.0,9.0,19.0,100,0.39,7.066666666666667,13.8,308.6666666666667,321.0,10.4,22.9,24.7,25.5,25.4,0.269,0.277,0.268,0.323,0,0,0,0.0,0,0.0,0,0.0,0.0,5,1,1,2022,5
7,22.9,85.0,20.2,25.8,0.0,1010.9,986.8,48.0,6.5,10.0,100,0.42,7.733333333333333,13.8,309.3333333333333,313.0,10.4,22.8,24.6,25.5,25.4,0.269,0.277,0.268,0.323,13,1,12,10.1,13,77.9,1,1800.0,0.0,6,1,1,2022,5
8,25.0,81.0,21.4,28.4,0.0,1011.0,987.0,38.0,4.0,7.0,100,0.61,8.4,13.8,310.0,311.0,17.6,24.0,24.5,25.5,25.4,0.267,0.276,0.267,0.323,153,69,84,285.1,153,342.4,1,3600.0,0.0,7,1,1,2022,5
9,25.78,77.0,21.8,29.7,0.0,1011.4,987.35,41.0,10.0,3.0,100,0.78,9.3,12.6,306.0,307.0,19.4,25.2,24.6,25.5,25.4,0.265,0.275,0.267,0.323,373,257,116,551.8,373,658.8,1,3600.0,0.0,8,1,1,2022,5
10,26.56,74.0,22.4,31.2,0.0,1011.5,987.7,40.0,8.0,4.0,100,0.95,9.6,15.6,290.0,293.0,24.8,26.5,24.7,25.5,25.4,0.263,0.274,0.266,0.323,619,484,135,731.9,619,935.4,1,3600.0,0.0,9,1,1,2022,5
